"","HH","TH","Truth"
"337",0.161538461538462,0.184782546164563,0.1475
"338",0,0,0.1625
"339",0,0,0.15
"340",0.705263157894737,0.861593483313182,0.175
"341",0,0,0.1325
"342",0.144444444444444,0.158053501949357,0.12
"343",0.216666666666667,0.245117394281217,0.175
"344",0.4725,0.5069749919932,0.135
"345",0.425,0.502471665519295,0.13
"346",0,0,0.1425
"347",0.35,0.395958867685043,0.1375
"348",0,0,0.1525
"349",0,0,0.1625
"350",0,0,0.135
"351",0.266666666666667,0.272778336038752,0.1275
"352",0,0,0.14
"353",0,0,0.1325
"354",0,0,0.1575
"355",0.309090909090909,0.333938929091206,0.1275
"356",0.186666666666667,0.218284143487017,0.1425
"357",0.166666666666667,0.182369425326181,0.1325
"358",0.553846153846154,0.618572822759843,0.15
"359",0.2,0.204583752029064,0.1175
"360",0,0,0.175
"361",0,0,0.1375
"362",0.176923076923077,0.202380883894522,0.1125
"363",0.192307692307692,0.21997922162448,0.175
"364",0.273333333333333,0.319630352963132,0.155
"365",0,0,0.145
"366",0,0,0.19
"367",0.5,0.529044280502733,0.16
"368",0,0,0.1075
"369",0.1,0.099999999999999,0.165
"370",0.1,0.101140684410646,0.135
"371",0,0,0.175
"372",0.228571428571429,0.264361441300608,0.16
"373",0.263636363636364,0.283082640158335,0.1425
"374",0,0,0.1725
"375",0,0,0.1325
"376",0,0,0.15
"377",0,0,0.155
"378",0.19,0.210229986593623,0.15
"379",0.172727272727273,0.19325389794491,0.1575
"380",0.136363636363636,0.152568866798613,0.1025
"381",0,0,0.1625
"382",0,0,0.1575
"383",0.2,0.218843310391417,0.1625
"384",0.284210526315789,0.347209314170984,0.1825
"385",0,0,0.1425
"386",0,0,0.13
"387",0.386904761904762,0.423701238836967,0.1525
"388",0.15,0.151711026615969,0.15
"389",0,0,0.18
"390",0,0,0.1475
"391",0.2,0.22129472273013,0.175
"392",0.433333333333333,0.490234788562434,0.16
"393",0,0,0.16
"394",0,0,0.155
"395",0.341666666666667,0.404601545834109,0.1425
"396",0.366666666666667,0.396374290849864,0.1525
"397",0.303030303030303,0.334938292124794,0.14
"398",0.48,0.592803265177008,0.18
"399",0.2625,0.284042558234767,0.18
"400",0.155555555555556,0.170211463637769,0.1375
"401",0,0,0.1325
"402",0,0,0.1825
"403",0.183333333333333,0.20740702593026,0.155
"404",0,0,0.1475
"405",0,0,0.155
"406",0.242857142857143,0.259863050993044,0.1525
"407",0,0,0.155
"408",0,0,0.1375
"409",0.23,0.284051564563983,0.155
"410",0,0,0.1425
"411",0.175,0.216126190429118,0.135
"412",0,0,0.1825
"413",0,0,0.1975
"414",0.228571428571429,0.244576989169924,0.1525
"415",0,0,0.165
"416",0,0,0.115
"417",0.1,0.099999999999999,0.1575
"418",0.166666666666667,0.194896556684836,0.17
"419",0.154545454545455,0.172911382371762,0.12
"420",0,0,0.11
"421",0,0,0.14
"422",0,0,0.1775
"423",0,0,0.155
"424",0.4,0.409167504058127,0.17
"425",0.178571428571429,0.240307605290973,0.1275
"426",0.18,0.188326668249452,0.15
"427",0,0,0.175
"428",0,0,0.145
"429",0.233333333333333,0.255317195456653,0.13
"430",0.221428571428571,0.256100146259964,0.185
"431",0.4125,0.487693087121669,0.16
"432",0,0,0.155
"433",0.170967741935484,0.237484596278612,0.1325
"434",0.3475,0.379923319780366,0.135
"435",0.157142857142857,0.181748490894168,0.165
"436",0.290909090909091,0.325480249170375,0.175
"437",0.232,0.302383617972392,0.145
"438",0.331818181818182,0.365735189008494,0.1325
"439",0.2,0.22129472273013,0.135
"440",0.24375,0.288182278753714,0.1525
"441",0,0,0.1125
"442",0.238888888888889,0.288679931844153,0.1625
"443",0,0,0.1225
"444",0.233333333333333,0.255317195456653,0.17
"445",0,0,0.16
"446",0.38,0.469302584931798,0.135
"447",0.156,0.20332691553316,0.1325
"448",0.2,0.22129472273013,0.15
"449",0,0,0.18
"450",0.185714285714286,0.198718803700563,0.1475
"451",0,0,0.14
"452",0.1,0.099999999999999,0.11
"453",0,0,0.1825
"454",0,0,0.165
"455",0,0,0.1125
"456",0,0,0.135
"457",0.245454545454545,0.274623960237504,0.165
"458",0.2375,0.256990886021932,0.1625
"459",0,0,0.1525
"460",0,0,0.14
"461",0,0,0.165
"462",0,0,0.115
"463",0.2,0.201140684410645,0.145
"464",0.22,0.243424195003142,0.15
"465",0.33125,0.464984789949755,0.195
"466",0.233333333333333,0.255317195456653,0.165
"467",0,0,0.145
"468",0.35,0.397330681011066,0.155
"469",0,0,0.1575
"470",0.142857142857143,0.152860618231202,0.125
"471",0.2875,0.311094230447602,0.1875
"472",0.2,0.199999999999998,0.15
"473",0,0,0.17
"474",0.366666666666667,0.414814051860521,0.16
"475",0.188888888888889,0.206685348703005,0.18
"476",0,0,0.1375
"477",0.2,0.218843310391417,0.14
"478",0.16,0.177035778184104,0.155
"479",0.25,0.264522140251366,0.1475
"480",0,0,0.105
"481",0.216666666666667,0.245117394281217,0.165
"482",0.38956043956044,0.483336987484981,0.2225
"483",0,0,0.1575
"484",0.188888888888889,0.206685348703005,0.1575
"485",0.2125,0.229939213809097,0.1775
"486",0,0,0.14
"487",0.691428571428572,0.732240573177929,0.18
"488",0.24,0.280651041626164,0.155
"489",0.158823529411765,0.189842130472152,0.1275
"490",0,0,0.15
"491",0,0,0.1725
"492",0.211111111111111,0.231001272079829,0.1525
"493",0.26,0.287683139549168,0.155
"494",0.392261904761905,0.458524787558092,0.1525
"495",0,0,0.145
"496",0.2,0.199999999999998,0.1525
"497",0.186666666666667,0.218284143487017,0.175
"498",0,0,0.1375
"499",0,0,0.1425
"500",0.1625,0.175835869383427,0.1525
"501",0.1,0.099999999999999,0.1325
"502",0,0,0.12
"503",0,0,0.1525
"504",0,0,0.14
"505",0,0,0.1475
"506",0,0,0.17
"507",0.184615384615385,0.211180052759501,0.185
"508",0,0,0.1325
"509",0,0,0.1475
"510",0.183333333333333,0.20740702593026,0.175
"511",0,0,0.1375
"512",0.682142857142857,0.756529801947714,0.155
"513",0.2,0.226262210105739,0.18
"514",0,0,0.18
"515",0.345454545454545,0.43597228319872,0.1575
"516",0.136363636363636,0.152568866798613,0.16
"517",0,0,0.165
"518",0.166666666666667,0.208076828108466,0.1375
"519",0.171428571428571,0.198271080975456,0.16
"520",0.32,0.354071556368207,0.165
"521",0.443333333333333,0.471040502900544,0.1525
"522",0.2,0.226262210105739,0.15
"523",0.657662337662338,0.721940113264273,0.155
"524",0.353030303030303,0.381821388349797,0.16
"525",0,0,0.1775
"526",0.358333333333333,0.379124249667041,0.18
"527",0,0,0.17
"528",0,0,0.1625
"529",0.2,0.218843310391417,0.1525
"530",0,0,0.135
"531",0.244444444444444,0.295393418631227,0.1575
"532",0,0,0.1575
"533",0,0,0.1175
"534",0.283333333333333,0.32053813098313,0.1425
"535",0.2,0.22129472273013,0.1475
"536",0.185714285714286,0.198718803700563,0.13
"537",0.23125,0.273403700356087,0.155
"538",0,0,0.1725
"539",0,0,0.1225
"540",0.1,0.099999999999999,0.17
"541",0.138461538461538,0.158385039569626,0.1575
"542",0.25,0.258713284150819,0.155
"543",0,0,0.165
"544",0.1,0.099999999999999,0.1025
"545",0,0,0.15
"546",0.166666666666667,0.182369425326181,0.1475
"547",0,0,0.1225
"548",0,0,0.145
"549",0,0,0.165
"550",0.509090909090909,0.562236142446203,0.1375
"551",0.310897435897436,0.353850780521108,0.1475
"552",0,0,0.15
"553",0.188888888888889,0.206685348703005,0.1625
"554",0.315873015873016,0.357983398341349,0.0975
"555",0,0,0.105
"556",0,0,0.1475
"557",0.508333333333333,0.540273554222541,0.1625
"558",0.4,0.432826755405359,0.135
"559",0.281481481481481,0.374791823999982,0.145
"560",0.2125,0.274015198140365,0.1725
"561",0,0,0.1425
"562",0.163157894736842,0.199323865542602,0.1325
"563",0,0,0.1225
"564",0,0,0.14
"565",0.353846153846154,0.404761767789044,0.1725
"566",0.190909090909091,0.240932051241398,0.175
"567",0.2,0.226262210105739,0.1875
"568",0,0,0.145
"569",0.196,0.255462022080124,0.18
"570",0,0,0.155
"571",0.258333333333333,0.292255354719912,0.1875
"572",0.161538461538462,0.184782546164563,0.1175
"573",0.24,0.251102224332602,0.125
"574",0.2,0.22877839048946,0.1875
"575",0.171428571428571,0.183432741877443,0.1375
"576",0.303333333333333,0.319534015017303,0.13
"577",0,0,0.155
"578",0.31025641025641,0.348276424155466,0.135
"579",0.1,0.099999999999999,0.115
"580",0,0,0.095
"581",0,0,0.1425
"582",0,0,0.1525
"583",0,0,0.1425
"584",0,0,0.15
"585",0,0,0.155
"586",0.34,0.37620102864122,0.15
"587",0,0,0.1475
"588",0.19,0.210229986593623,0.1625
"589",0,0,0.1625
"590",0,0,0.16
"591",0.216666666666667,0.245117394281217,0.1475
"592",0,0,0.145
"593",0.2,0.214004865523683,0.1275
"594",0,0,0.1425
"595",0,0,0.15
"596",0,0,0.17
"597",0.1,0.099999999999999,0.135
"598",0,0,0.115
"599",0.2,0.226262210105739,0.1675
"600",0.190909090909091,0.240932051241398,0.1975
"601",0,0,0.115
"602",0,0,0.145
"603",0,0,0.1425
"604",0.166666666666667,0.182369425326181,0.145
"605",0,0,0.1625
"606",0.154545454545455,0.172911382371762,0.115
"607",0,0,0.175
"608",0.141666666666667,0.160269065491565,0.1225
"609",0.306944444444444,0.333889371332784,0.1325
"610",0.207692307692308,0.237577559354439,0.1725
"611",0,0,0.1525
"612",0.245454545454545,0.274623960237504,0.175
"613",0,0,0.12
"614",0.253846153846154,0.290372572544314,0.14
"615",0,0,0.155
"616",0.1,0.099999999999999,0.135
"617",0.275,0.289361705489844,0.1375
"618",0,0,0.155
"619",0.282142857142857,0.303405041118497,0.1275
"620",0,0,0.1425
"621",0,0,0.155
"622",0.128571428571429,0.160516410255102,0.1425
"623",0.242857142857143,0.259863050993044,0.1475
"624",0,0,0.12
"625",0.18,0.210488281219623,0.1875
"626",0.266666666666667,0.282156949601457,0.16
"627",0,0,0.1375
"628",0,0,0.1275
"629",0.566666666666667,0.661815412350941,0.1575
"630",0,0,0.1175
"631",0,0,0.1375
"632",0,0,0.1325
"633",0,0,0.1875
"634",0,0,0.12
"635",0,0,0.175
"636",0,0,0.155
"637",0,0,0.165
"638",0.806666666666667,0.866426210192009,0.1425
"639",0,0,0.15
"640",0,0,0.1575
"641",0.108333333333333,0.122558697140608,0.1225
"642",0,0,0.1125
"643",0.2,0.214004865523683,0.145
"644",0.226315789473684,0.276481490913931,0.185
"645",0.183333333333333,0.20740702593026,0.165
"646",0,0,0.145
"647",0,0,0.15
"648",0.528571428571429,0.558581854693606,0.1475
"649",0.284615384615385,0.3111800527595,0.1675
"650",0.133333333333333,0.155917245347869,0.135
"651",0,0,0.135
"652",0.2,0.223767671304633,0.175
"653",0.155555555555556,0.170211463637769,0.155
"654",0,0,0.1475
"655",0.2625,0.284042558234767,0.14
"656",0,0,0.135
"657",0.283333333333333,0.307407025930259,0.155
"658",0,0,0.115
"659",0.24,0.329881050908812,0.1825
"660",0.183333333333333,0.20740702593026,0.1325
"661",0,0,0.1575
"662",0,0,0.1525
"663",0,0,0.1075
"664",0.527777777777778,0.568551114805346,0.1275
