"","HH","TH","Truth"
"969",0.188888888888889,0.206685348703005,0.1625
"970",0.315873015873016,0.357983398341349,0.0975
"971",0,0,0.105
"972",0,0,0.1475
"973",0.508333333333333,0.540273554222541,0.1625
"974",0.4,0.432826755405359,0.135
"975",0.281481481481481,0.374791823999982,0.145
"976",0.2125,0.274015198140365,0.1725
"977",0,0,0.1425
"978",0.163157894736842,0.199323865542602,0.1325
"979",0,0,0.1225
"980",0,0,0.14
"981",0.353846153846154,0.404761767789044,0.1725
"982",0.190909090909091,0.240932051241398,0.175
"983",0.2,0.226262210105739,0.1875
"984",0,0,0.145
"985",0.196,0.255462022080124,0.18
"986",0,0,0.155
"987",0.258333333333333,0.292255354719912,0.1875
"988",0.161538461538462,0.184782546164563,0.1175
"989",0.24,0.251102224332602,0.125
"990",0.2,0.22877839048946,0.1875
"991",0.171428571428571,0.183432741877443,0.1375
"992",0.303333333333333,0.319534015017303,0.13
"993",0,0,0.155
"994",0.31025641025641,0.348276424155466,0.135
"995",0.1,0.099999999999999,0.115
"996",0,0,0.095
"997",0,0,0.1425
"998",0,0,0.1525
"999",0,0,0.1425
"1000",0,0,0.15
